0,1,2,3,4,5,6,7,8,9
81,146,155,382,365,129,190,125,57,49
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
48,102,91,260,217,69,93,53,28,17
32,54,51,125,131,51,70,45,13,10
8,3,8,20,17,3,12,3,4,1
0,2,1,3,1,1,2,0,1,0
0,2,2,1,3,2,0,0,0,0
0,1,0,1,1,0,0,1,0,0
0,0,1,0,3,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0
0,1,1,3,1,1,1,1,0,0
1,0,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,3,1,1,2,2,0,0
0,0,0,0,0,0,1,1,1,0
0,1,0,0,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,2,1,7,0,1,1,1,0,0
7,9,14,20,14,8,11,4,2,3
18,31,28,81,84,27,33,15,6,5
21,43,32,92,91,20,42,19,7,4
11,23,19,56,43,22,26,6,7,1
1,10,11,37,29,3,9,5,3,2
6,8,9,19,17,4,10,4,0,0
3,0,2,6,6,3,2,2,0,0
2,4,2,3,4,0,2,1,0,0
3,9,7,20,12,4,1,1,0,0
8,8,12,28,23,11,4,5,2,2
4,14,11,24,16,10,5,3,3,1
4,0,2,5,4,3,2,1,1,0
1,1,0,0,0,0,0,0,0,0
1,0,1,3,0,1,2,0,1,0
0,3,0,2,2,0,2,2,0,0
0,3,3,3,2,1,0,1,0,0
0,0,1,3,1,1,1,0,0,0
5,1,6,8,11,3,4,3,2,2
9,23,12,40,33,14,13,3,4,1
