0,1,2,3,4,5,6,7,8,9,10
308,191,165,140,133,133,127,123,128,127,104
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
261,141,80,79,70,51,58,87,65,40,46
34,45,73,64,49,63,63,42,53,47,49
0,0,4,3,6,10,9,4,8,27,8
0,1,0,0,1,1,0,0,0,7,1
1,2,1,0,0,1,1,0,1,2,1
0,0,0,1,0,2,0,0,0,0,1
1,0,0,2,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,0,0,0
0,0,2,2,1,2,0,0,0,0,2
0,0,0,1,0,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0
0,0,2,5,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0
0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,0,0,0
0,0,4,2,0,1,0,4,2,0,0
0,8,12,16,13,11,0,21,11,0,0
0,55,49,63,38,30,2,44,47,0,0
0,63,54,51,50,36,10,40,42,7,18
0,41,15,5,8,23,50,7,9,12,44
0,2,1,1,1,16,39,2,2,23,23
0,0,1,2,0,1,18,1,0,42,12
0,0,2,2,0,1,0,0,1,16,2
8,0,0,2,0,3,1,0,1,1,2
54,0,0,0,0,0,0,0,1,0,2
101,0,0,0,0,0,0,0,0,1,1
89,0,0,1,1,0,0,0,0,0,0
12,2,1,1,1,1,1,0,2,0,1
0,0,0,2,0,0,0,0,0,0,0
1,1,0,2,1,0,0,0,1,2,1
0,0,4,3,1,0,0,0,1,0,2
0,2,0,4,1,3,0,1,0,1,1
0,1,2,2,0,2,0,0,0,0,0
0,3,16,14,4,3,0,2,1,2,0
0,19,44,45,12,11,0,21,0,0,0
